Game Number,Score,Tiles Closed,Rolls,Moves
339,14,6,"[(6, 3), (4, 1), (3, 5), (3, 6), (6, 6)]","[(1, 2, 6), (5,), (8,), (9,)]"
340,35,4,"[(5, 5), (1, 1)]","[(1, 2, 3, 4)]"
341,13,7,"[(3, 1), (1, 4), (5, 6), (3, 1), (4, 4), (1, 4)]","[(1, 3), (5,), (2, 9), (4,), (8,)]"
342,31,4,"[(3, 4), (3, 4), (1, 6)]","[(1, 2, 4), (7,)]"
343,23,6,"[(6, 5), (5, 6), (5, 5)]","[(1, 2, 3, 5), (4, 7)]"
344,19,6,"[(4, 5), (5, 4), (2, 6), (1, 1)]","[(1, 2, 6), (4, 5), (8,)]"
345,29,5,"[(1, 3), (6, 6), (3, 1)]","[(1, 3), (2, 4, 6)]"
346,28,5,"[(4, 4), (5, 4), (5, 5)]","[(1, 2, 5), (3, 6)]"
347,17,7,"[(3, 1), (1, 1), (1, 3), (2, 5), (4, 1), (1, 5), (3, 2)]","[(1, 3), (2,), (4,), (7,), (5,), (6,)]"
348,28,5,"[(4, 1), (4, 1), (5, 2), (5, 5)]","[(1, 4), (2, 3), (7,)]"
349,35,4,"[(1, 1), (2, 6), (1, 1)]","[(2,), (1, 3, 4)]"
350,21,6,"[(4, 2), (6, 3), (4, 5), (4, 5)]","[(1, 2, 3), (4, 5), (9,)]"
351,33,4,"[(2, 2), (5, 3), (1, 2)]","[(1, 3), (2, 6)]"
352,27,5,"[(3, 1), (3, 1), (6, 4), (4, 4)]","[(1, 3), (4,), (2, 8)]"
353,33,4,"[(3, 5), (1, 3), (2, 2)]","[(1, 2, 5), (4,)]"
354,23,6,"[(3, 5), (5, 2), (5, 2), (2, 1)]","[(1, 2, 5), (3, 4), (7,)]"
355,15,7,"[(5, 5), (1, 4), (4, 3), (2, 6), (2, 1)]","[(1, 2, 3, 4), (5,), (7,), (8,)]"
356,19,6,"[(6, 1), (4, 1), (6, 2), (3, 3), (3, 5)]","[(1, 2, 4), (5,), (8,), (6,)]"
357,36,3,"[(1, 1), (4, 3), (1, 5)]","[(2,), (1, 6)]"
358,20,6,"[(6, 2), (6, 2), (3, 6), (3, 3)]","[(1, 2, 5), (8,), (3, 6)]"
359,33,4,"[(6, 6), (6, 4)]","[(1, 2, 3, 6)]"
360,30,5,"[(3, 3), (3, 6), (2, 2)]","[(1, 2, 3), (4, 5)]"
361,30,5,"[(4, 3), (6, 2), (2, 1)]","[(1, 2, 4), (3, 5)]"
362,16,7,"[(6, 2), (3, 1), (5, 3), (4, 5), (6, 5)]","[(1, 2, 5), (4,), (8,), (3, 6)]"
363,25,5,"[(2, 2), (2, 2), (4, 1), (2, 5), (1, 2)]","[(1, 3), (4,), (5,), (7,)]"
